ObjectId,lat,long,offence,location,year,month,date,dayofweek,MCI,Arrest
1598,43.70258119,-79.57296584,Assault,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",2016,March,2016/03/04 05:00:00+00,Friday    ,Assault,1
1599,43.75230198,-79.59926221,Robbery - Vehicle Jacking,"Parking Lots (Apt., Commercial Or Non-Commercial)",2016,March,2016/03/05 05:00:00+00,Saturday  ,Robbery,1
1600,43.75230198,-79.59926221,Robbery - Vehicle Jacking,"Parking Lots (Apt., Commercial Or Non-Commercial)",2016,March,2016/03/05 05:00:00+00,Saturday  ,Robbery,1
1601,43.75230198,-79.59926221,Assault,"Parking Lots (Apt., Commercial Or Non-Commercial)",2016,March,2016/03/05 05:00:00+00,Saturday  ,Assault,1
1602,43.70258119,-79.57296584,B&E,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",2016,March,2016/03/04 05:00:00+00,Friday    ,Break and Enter,1
1603,43.73904095,-79.59613804,Assault With Weapon,"Single Home, House (Attach Garage, Cottage, Mobile)",2016,March,2016/03/08 05:00:00+00,Tuesday   ,Assault,1
1604,43.73904095,-79.59613804,Assault,"Single Home, House (Attach Garage, Cottage, Mobile)",2016,March,2016/03/08 05:00:00+00,Tuesday   ,Assault,1
1605,43.72688369,-79.62279241,B&E,"Single Home, House (Attach Garage, Cottage, Mobile)",2016,March,2016/03/08 05:00:00+00,Tuesday   ,Break and Enter,1
1606,43.72749881,-79.60937769,Robbery - Swarming,"Open Areas (Lakes, Parks, Rivers)",2015,October,2015/10/30 04:00:00+00,Friday    ,Robbery,1
1607,43.72749881,-79.60937769,Robbery - Swarming,"Open Areas (Lakes, Parks, Rivers)",2015,October,2015/10/30 04:00:00+00,Friday    ,Robbery,1
1608,43.7483105,-79.59968067,Assault,Schools During Supervised Activity,2015,October,2015/10/29 04:00:00+00,Thursday  ,Assault,1
1609,43.70602991,-79.60417825,Robbery With Weapon,"Parking Lots (Apt., Commercial Or Non-Commercial)",2015,October,2015/10/31 04:00:00+00,Saturday  ,Robbery,1
1610,43.70602991,-79.60417825,Robbery With Weapon,"Bank And Other Financial Institutions (Money Mart, Tsx)",2015,October,2015/10/31 04:00:00+00,Saturday  ,Robbery,1
1611,43.75368253,-79.60903121,B&E W'Intent,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",2015,October,2015/10/30 04:00:00+00,Friday    ,Break and Enter,1
1612,43.72787024,-79.59451745,Robbery - Mugging,"Streets, Roads, Highways (Bicycle Path, Private Road)",2015,October,2015/10/31 04:00:00+00,Saturday  ,Robbery,1
1613,43.72787024,-79.59451745,Robbery - Mugging,"Streets, Roads, Highways (Bicycle Path, Private Road)",2015,October,2015/10/31 04:00:00+00,Saturday  ,Robbery,1
1614,43.72787024,-79.59451745,Robbery - Mugging,"Streets, Roads, Highways (Bicycle Path, Private Road)",2015,October,2015/10/31 04:00:00+00,Saturday  ,Robbery,1
1615,43.72787024,-79.59451745,Robbery - Mugging,"Streets, Roads, Highways (Bicycle Path, Private Road)",2015,October,2015/10/31 04:00:00+00,Saturday  ,Robbery,1
1616,43.72998269,-79.60357621,Assault,"Streets, Roads, Highways (Bicycle Path, Private Road)",2015,October,2015/10/31 04:00:00+00,Saturday  ,Assault,1
1617,43.74687755,-79.62198544,Assault Bodily Harm,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",2015,November,2015/11/01 04:00:00+00,Sunday    ,Assault,1
1618,43.74687755,-79.62198544,Assault Bodily Harm,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",2015,November,2015/11/01 04:00:00+00,Sunday    ,Assault,1
1619,43.74687755,-79.62198544,Assault Bodily Harm,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",2015,November,2015/11/01 04:00:00+00,Sunday    ,Assault,1
1620,43.74687755,-79.62198544,Assault,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",2015,November,2015/11/01 04:00:00+00,Sunday    ,Assault,1
1621,43.69021298,-79.57702746,Assault,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",2015,November,2015/11/01 04:00:00+00,Sunday    ,Assault,1
1622,43.70395072,-79.56680825,Theft Over,"Parking Lots (Apt., Commercial Or Non-Commercial)",2015,October,2015/10/03 04:00:00+00,Saturday  ,Theft Over,1
1623,43.72841913,-79.60431062,Assault,Universities / Colleges,2015,November,2015/11/01 04:00:00+00,Sunday    ,Assault,1
1624,43.68675813,-79.59552737,Assault,Bar / Restaurant,2015,November,2015/11/03 05:00:00+00,Tuesday   ,Assault,1
1625,43.71666178,-79.57844525,Theft Over,"Parking Lots (Apt., Commercial Or Non-Commercial)",2014,November,2014/11/03 05:00:00+00,Monday    ,Theft Over,1
1626,43.7231289,-79.58983259,Assault,"Streets, Roads, Highways (Bicycle Path, Private Road)",2015,November,2015/11/05 05:00:00+00,Thursday  ,Assault,1
1627,43.70092446,-79.56153504,Assault,"Streets, Roads, Highways (Bicycle Path, Private Road)",2015,November,2015/11/05 05:00:00+00,Thursday  ,Assault,1
1628,43.71803776,-79.59062484,B&E,"Construction Site (Warehouse, Trailer, Shed)",2015,October,2015/10/14 04:00:00+00,Wednesday ,Break and Enter,1
1629,43.71588957,-79.56866677,Assault,"Parking Lots (Apt., Commercial Or Non-Commercial)",2015,November,2015/11/07 05:00:00+00,Saturday  ,Assault,1
1630,43.69021298,-79.57702746,Assault,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",2015,November,2015/11/07 05:00:00+00,Saturday  ,Assault,1
1631,43.74364194,-79.60387564,Robbery With Weapon,Bar / Restaurant,2015,November,2015/11/09 05:00:00+00,Monday    ,Robbery,1
1632,43.72388969,-79.61580992,Assault,"Apartment (Rooming House, Condo)",2015,January,2015/01/01 05:00:00+00,Thursday  ,Assault,1
1633,43.74364194,-79.60387564,Aggravated Assault,Bar / Restaurant,2015,November,2015/11/11 05:00:00+00,Wednesday ,Assault,1
1634,43.75655327,-79.60472887,Assault With Weapon,"Single Home, House (Attach Garage, Cottage, Mobile)",2010,January,2010/01/01 05:00:00+00,Friday    ,Assault,1
1635,43.75655327,-79.60472887,Assault,"Single Home, House (Attach Garage, Cottage, Mobile)",2010,January,2010/01/01 05:00:00+00,Friday    ,Assault,1
1636,43.73046982,-79.601404,Assault,Ttc Bus,2015,November,2015/11/11 05:00:00+00,Wednesday ,Assault,1
1637,43.73355278,-79.61995805,Assault,"Single Home, House (Attach Garage, Cottage, Mobile)",2015,November,2015/11/11 05:00:00+00,Wednesday ,Assault,1
1638,43.72409104,-79.58153457,Assault,Schools During Supervised Activity,2015,November,2015/11/09 05:00:00+00,Monday    ,Assault,1
1639,43.69927247,-79.58696183,Robbery - Business,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",2015,November,2015/11/12 05:00:00+00,Thursday  ,Robbery,1
1640,43.69927247,-79.58696183,Robbery - Business,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",2015,November,2015/11/12 05:00:00+00,Thursday  ,Robbery,1
1641,43.73309317,-79.61160933,Theft Over,"Apartment (Rooming House, Condo)",2015,November,2015/11/13 05:00:00+00,Friday    ,Theft Over,1
1642,43.67834241,-79.58493113,Assault Bodily Harm,"Parking Lots (Apt., Commercial Or Non-Commercial)",2015,November,2015/11/14 05:00:00+00,Saturday  ,Assault,1
1643,43.73168881,-79.61177392,Assault With Weapon,"Apartment (Rooming House, Condo)",2015,November,2015/11/14 05:00:00+00,Saturday  ,Assault,1
